StockCode,CurrentPrice,Elasticity,RecommendedPrice
21447,1.62,-0.3468,1.94
21448,1.88,-0.3537,2.25
21450,5.95,-1.0,5.95
21452,3.45,-2.1692,3.2
21454,0.91,-2.0305,0.89
21455,0.94,-1.1337,1.12
21456,1.45,-3.0628,1.16
21457,1.54,-3.1278,1.23
21458,1.64,-2.7024,1.31
21459,2.3,-0.6141,2.76
21460,2.37,-0.5,2.84
21461,2.32,-1.0079,2.78
21462,6.87,-1.3855,8.25
21463,6.54,-0.8971,7.85
21464,4.25,-15.1928,3.4
21465,4.03,-0.5,4.83
21466,3.98,-0.6864,4.78
21467,4.03,-1.9618,4.11
21468,4.01,-1.1737,4.82
21469,3.97,-1.8688,4.27
21470,4.21,-1.4174,5.05
21471,3.92,-1.0002,4.7
21472,4.38,-1.2964,5.26
21473,20.84,-0.5,25.01
21474,19.95,-1.0,19.95
21475,14.95,-1.0,14.95
21476,16.4,-0.1433,19.68
21477,14.87,-0.5,17.85
21478,4.4,-0.5,5.28
21479,4.68,-0.5337,5.61
21480,3.82,-1.0,3.82
21481,3.76,-1.1133,4.51
21482,3.62,-0.794,4.34
21484,4.56,-2.5256,3.77
21485,5.47,-3.0136,4.38
21486,3.91,-8.0507,3.13
21488,4.66,-1.8793,4.98
21489,5.96,-1.0,5.964285714285714
21490,2.58,-0.6944,3.1
21491,2.12,-0.5,2.54
21493,1.05,-1.0,1.0483333333333333
21494,2.62,-0.9208,3.14
21495,0.42,-24.0648,0.33
21496,0.42,-1.0,0.42
21497,0.42,-23.7349,0.33
21498,0.42,-33.7996,0.33
21499,0.42,-20.8222,0.33
21500,0.42,-23.4528,0.33
21503,0.42,-19.3078,0.34
21504,0.47,-3.4694,0.37
21506,0.49,-1.986,0.49
21507,0.5,-2.3866,0.43
21508,0.52,-2.3393,0.45
21509,0.5,-2.8988,0.4
21511,0.42,-1.0,0.42
21518,0.5,-2.6104,0.41
21519,0.5,-1.8878,0.53
21520,0.53,-3.1249,0.43
21523,8.91,-2.2146,8.13
21524,8.5,-3.3577,6.8
21525,6.75,-1.0,6.75
21527,8.85,-0.5197,10.62
21528,7.65,-1.738,9.01
21529,4.01,-1.2868,4.81
21530,2.34,-1.1367,2.81
21531,3.02,-1.2052,3.63
21532,2.38,-1.5943,2.86
21533,5.43,-0.5,6.52
21534,5.38,-1.1133,6.45
21535,2.86,-1.7414,3.36
21536,2.27,-1.9149,2.37
21537,4.72,-0.9174,5.66
21538,3.99,-3.9238,3.19
21539,5.76,-1.0554,6.91
21540,4.73,-2.7106,3.78
21541,1.04,-1.6875,1.25
21542,1.02,-0.7373,1.22
21543,1.2,-1.0,1.1958333333333333
21544,1.05,-0.9045,1.26
21545,3.55,-0.9619,4.26
21547,3.6,-1.697,4.31
21548,3.68,-0.5,4.42
21549,3.31,-4.1344,2.65
21550,6.65,-1.9984,6.66
21551,6.8,-2.3034,6.01
21552,6.25,-3.1613,5.0
21553,7.79,-0.5,9.34
21554,6.46,-3.8096,5.17
21555,3.05,-0.7729,3.66
21556,3.25,-1.0346,3.9
21557,4.16,-2.0281,4.1
21558,3.26,-1.9589,3.33
21559,3.05,-1.6617,3.66
21560,3.86,-1.0,3.86
21561,2.9,-2.0302,2.86
21562,1.85,-1.371,2.22
21563,3.32,-1.9893,3.34
21564,3.23,-1.7149,3.88
21576,2.52,-0.5624,3.03
21577,2.73,-1.043,3.28
21578,2.6,-2.3004,2.3
21579,2.58,-1.8353,2.84
21580,2.84,-1.2245,3.41
21581,2.67,-1.5001,3.2
21582,1.65,-1.0,1.65
21584,1.65,-39.4851,1.32
21585,1.65,-1.0,1.65
21586,2.52,-9.8603,2.01
21587,2.54,-92.8013,2.03
21588,2.52,-17.9308,2.02
21589,2.5,-25.0949,2.0
21590,1.25,-55.5977,1.0
21591,1.26,-0.5,1.51
21592,1.19,-3.115,0.96
21593,1.25,-42.217,1.0
21594,4.21,-0.3347,5.05
21595,8.54,-21.9745,6.83
21596,4.26,-0.5,5.11
21609,3.04,-3.3652,2.43
21610,3.04,-1.6769,3.65
21611,3.12,-0.5,3.74
21612,3.25,-0.9295,3.9
21613,3.08,-1.6754,3.69
21614,3.06,-2.1375,2.88
21615,2.36,-2.6249,1.91
21616,2.49,-2.1662,2.31
21617,2.94,-2.1466,2.76
21618,2.94,-1.4402,3.53
21619,2.43,-3.3098,1.94
21620,2.53,-2.5988,2.05
21621,9.29,-1.509,11.15
21622,5.82,-0.474,6.98
21623,10.23,-3.8134,8.18
21624,6.6,-1.0293,7.92
21625,8.2,-0.8292,9.83
21626,2.35,-1.695,2.82
21627,22.63,-0.5822,27.15
21628,22.48,-0.9566,26.97
21629,11.83,-0.5,14.19
21630,13.74,-0.2558,16.48
21631,10.78,-2.7421,8.62
21632,11.46,-1.868,12.33
21633,13.04,-1.3482,15.65
21634,1.4,-1.8928,1.48
21635,3.31,-1.4839,3.97
21636,1.47,-1.3643,1.76
21637,1.84,-2.8077,1.47
21638,2.47,-0.5,2.97
21639,0.96,-1.0,0.9633333333333333
21640,1.09,-0.9744,1.31
21641,1.24,-2.273,1.11
21642,0.88,-1.1673,1.06
21643,1.87,-1.3587,2.25
21644,1.43,-0.5,1.72
21645,1.83,-0.5,2.2
21647,2.52,-0.5,3.03
21648,1.84,-2.0001,1.84
21649,3.35,-1.0963,4.02
21650,0.67,-1.5077,0.81
21651,1.84,-1.5405,2.21
21652,2.1,-2.5329,1.73
21653,2.26,-2.617,1.83
21654,1.26,-0.9062,1.51
21655,1.95,-1.695,2.34
21656,2.06,-1.3789,2.48
21657,8.48,-0.4889,10.18
21658,5.33,-1.7719,6.12
21659,17.13,-0.5,20.56
21661,7.06,-0.3631,8.48
21662,7.47,-0.1996,8.97
21663,7.25,-0.8012,8.69
21664,4.22,-0.5,5.06
21665,1.09,-2.391,0.94
21666,0.83,-1.9433,0.85
21667,18.96,-0.5,22.75
21668,1.64,-1.5824,1.97
21669,1.56,-0.764,1.87
21670,1.63,-1.4926,1.96
21671,1.61,-1.3794,1.93
21672,1.59,-0.4187,1.91
21673,1.63,-0.9715,1.95
21674,16.55,-9.6664,13.24
21675,1.05,-2.2524,0.95
21676,1.01,-2.3118,0.89
21677,1.0,-1.843,1.1
21678,0.98,-2.3629,0.85
21679,1.06,-3.0374,0.85
21680,1.14,-1.8331,1.25
21681,10.15,-0.5,12.18
21682,5.27,-1.874,5.65
21683,3.32,-0.7691,3.98
21684,1.13,-1.4228,1.35
21685,14.95,-1.0,14.95
21686,39.31,-0.5,47.18
21687,4.61,-1.5484,5.54
21688,3.59,-1.6644,4.31
21689,4.09,-0.99,4.91
21690,3.93,-1.1276,4.72
21691,3.97,-0.7769,4.77
21692,4.0,-0.5413,4.8
21693,3.36,-2.1652,3.12
21694,3.26,-2.7122,2.61
21695,3.6,-2.0222,3.56
21696,3.26,-2.9299,2.61
21697,1.49,-1.3653,1.79
21698,1.25,-1.3133,1.5
21699,1.23,-1.0,1.2266666666666666
21700,3.27,-0.5,3.92
21702,1.34,-1.7327,1.59
21703,0.5,-1.3094,0.6
21704,0.98,-1.894,1.04
21705,1.83,-1.3981,2.2
21706,5.24,-1.3997,6.29
21707,4.95,-1.9523,5.08
21708,4.73,-1.7294,5.6
21709,5.14,-1.2576,6.17
21710,5.02,-1.5462,6.03
21711,5.29,-1.1156,6.35
21713,2.38,-2.4416,2.01
21714,1.75,-1.0269,2.1
21715,3.26,-3.1536,2.61
21716,3.34,-3.3986,2.68
21717,2.93,-1.881,3.13
21718,1.67,-3.1463,1.33
21719,1.07,-1.3772,1.28
21720,1.02,-1.6597,1.23
21721,1.16,-1.4175,1.39
21722,1.17,-1.3258,1.4
21723,1.03,-1.4585,1.24
21724,1.02,-1.2331,1.22
21725,1.16,-1.9177,1.21
21726,0.98,-0.5,1.17
21728,13.66,-2.1333,12.86
21729,4.05,-2.294,3.59
21730,5.38,-0.5,6.45
21731,2.23,-0.9386,2.68
21732,3.81,-3.1243,3.05
21733,3.1,-2.1195,2.93
21734,5.66,-0.331,6.8
21735,15.28,-0.0957,18.34
21736,2.33,-0.6953,2.79
21737,19.87,-3.2583,15.9
21738,3.49,-0.7852,4.19
21739,3.05,-1.7361,3.6
21740,3.66,-0.5,4.39
21741,3.82,-1.5155,4.58
21742,6.08,-0.5,7.3
21743,3.56,-2.4067,3.04
21744,3.19,-1.5225,3.83
21745,3.96,-0.9378,4.75
21746,1.51,-3.7589,1.21
21747,1.44,-2.4513,1.22
21749,2.56,-2.7825,2.04
21750,2.45,-1.0394,2.94
21752,17.64,-0.5,21.17
21754,6.58,-1.499,7.9
21755,6.67,-1.7076,8.0
21756,6.56,-0.3776,7.88
21757,6.31,-0.5,7.57
21758,9.15,-1.0603,10.98
21759,54.19,-0.4227,65.02
21760,116.92,-5.1076,93.54
21761,29.6,-23.2821,23.68
21763,27.95,-1.8893,29.69
21764,39.5,-22.2335,31.6
21765,8.97,-0.1034,10.77
21767,29.95,-1.0,29.95
21768,17.99,-1.4809,21.59
21769,77.18,-7.9814,61.74
21770,5.43,-0.7193,6.52
21772,12.75,-1.0,12.75
21773,1.92,-2.3376,1.68
21774,2.01,-2.6469,1.62
21775,2.02,-2.5633,1.65
21777,9.06,-2.2094,8.28
21779,4.61,-3.0964,3.69
21780,10.91,-1.0,10.9125
21781,16.49,-1.1358,19.78
21784,12.56,-0.5,15.07
21785,0.98,-2.9359,0.79
21786,0.62,-3.7637,0.5
21787,1.04,-4.0764,0.83
21788,0.91,-2.5457,0.75
21789,0.94,-1.2521,1.13
21790,1.01,-3.3722,0.81
21791,1.49,-3.0299,1.19
21792,6.04,-1.835,6.63
21793,5.17,-1.8921,5.49
21794,6.09,-1.7509,7.1
21795,13.15,-4.0582,10.52
21796,12.66,-7.1665,10.13
21801,0.46,-1.6813,0.55
21802,0.49,-2.3283,0.43
21803,0.47,-1.4609,0.56
21804,3.89,-1.3818,4.66
21805,0.51,-3.6293,0.41
21806,0.5,-5.3479,0.4
21807,0.51,-3.3177,0.41
21808,3.61,-3.4219,2.88
21809,1.26,-1.7513,1.47
21810,0.99,-2.9963,0.79
21811,1.18,-2.835,0.94
21812,5.66,-1.8881,6.02
21813,5.66,-1.5436,6.79
21814,1.81,-1.4275,2.17
21815,1.89,-0.7937,2.27
21816,1.69,-0.5,2.02
21817,0.73,-1.765,0.85
21818,0.73,-3.0185,0.58
21819,0.72,-2.1354,0.67
21820,4.67,-2.4639,3.93
21821,4.92,-0.9496,5.9
21822,1.6,-2.1055,1.53
21823,1.33,-0.7642,1.6
21824,1.14,-1.6021,1.36
21825,1.54,-1.937,1.6
21826,1.48,-0.5,1.77
21827,1.36,-2.071,1.32
21828,1.49,-0.9042,1.79
21829,0.27,-2.8491,0.21
21830,0.46,-4.238,0.37
21832,2.27,-1.2411,2.72
21833,2.07,-1.0052,2.48
21836,4.39,-0.5,5.26
21837,7.62,-0.5,9.15
21838,5.45,-1.0,5.45
21839,5.5,-0.0065,6.6
21841,4.42,-0.888,5.3
21842,3.01,-3.2607,2.41
21843,12.2,-2.7029,9.76
21844,3.32,-1.6882,3.98
21845,2.17,-1.1683,2.6
21846,3.92,-2.6901,3.13
21847,3.28,-1.7721,3.76
21849,3.77,-2.112,3.58
21850,3.95,-2.2639,3.53
21851,3.99,-2.5331,3.29
21852,6.95,-1.0,6.95
21853,5.13,-1.0,5.133333333333333
21854,5.17,-1.0,5.17
21857,5.12,-1.0,5.115
21858,5.12,-1.0,5.115
21860,5.17,-1.0,5.17
21864,2.75,-0.2505,3.3
21865,2.6,-1.1097,3.12
21866,1.76,-0.1347,2.11
21867,1.52,-1.0723,1.82
21868,1.63,-2.8282,1.3
21869,1.35,-3.4529,1.08
21870,1.55,-0.5191,1.86
21871,1.73,-0.6752,2.07
21872,1.54,-2.0979,1.47
21873,1.66,-1.3415,1.99
21874,1.84,-0.4171,2.2
21875,1.71,-1.4239,2.06
21876,2.0,-0.7007,2.4
21877,1.57,-1.0837,1.89
21878,1.06,-4.0235,0.85
21879,0.76,-1.9092,0.8
21880,0.66,-1.2342,0.79
21881,0.83,-2.1336,0.78
21882,0.78,-1.4284,0.93
21883,0.74,-1.7272,0.88
21884,1.0,-1.8263,1.11
21888,4.62,-1.9826,4.66
21889,1.56,-0.7606,1.87
21890,3.73,-0.7036,4.48
21891,1.54,-1.7094,1.84
21892,1.57,-1.5666,1.88
21893,5.5,-1.1786,6.6
21894,1.73,-1.6445,2.08
21895,4.89,-1.9701,4.96
21896,2.5,-1.0652,3.01
21897,3.1,-1.509,3.72
21898,3.0,-0.6119,3.6
21899,0.81,-1.8233,0.9
21900,0.86,-1.6151,1.04
21901,0.81,-1.9131,0.85
21902,0.78,-2.1358,0.73
21903,2.46,-1.5756,2.95
21904,2.09,-3.2817,1.67
21905,1.69,-1.6585,2.03
21906,8.46,-1.2765,10.15
21907,2.28,-2.46,1.92
21908,2.46,-2.5053,2.05
21910,1.76,-1.8865,1.87
21911,2.05,-1.4041,2.46
21912,4.69,-0.863,5.62
21913,4.39,-1.7389,5.16
21914,1.45,-1.5842,1.74
21915,1.4,-0.3834,1.68
21916,0.52,-2.8944,0.41
21917,0.5,-3.2239,0.4
21918,0.52,-2.7795,0.42
21919,5.08,-1.0,5.081999999999999
21922,8.89,-2.123,8.4
21923,8.58,-2.3975,7.36
21924,8.61,-1.9134,9.02
21925,1.57,-0.5,1.89
21926,1.59,-0.5,1.91
21927,1.69,-0.5,2.02
21928,2.47,-1.0854,2.97
21929,2.5,-2.6296,2.02
21930,2.52,-0.9278,3.02
21931,2.53,-0.9485,3.04
21932,2.43,-2.9929,1.95
21933,2.45,-3.3415,1.96
21934,2.21,-1.1397,2.65
21935,2.33,-0.1963,2.8
21936,3.64,-3.0254,2.91
21937,3.61,-1.8849,3.84
21942,1.27,-0.7699,1.53
21943,1.11,-2.3559,0.97
21944,1.16,-2.3424,1.01
21945,1.27,-2.1138,1.2
21946,1.0,-2.1719,0.93
21947,1.72,-1.4008,2.06
21948,1.88,-1.5818,2.26
21949,1.78,-2.7817,1.42
21950,2.4,-3.3013,1.92
21955,8.59,-3.628,6.87
21967,0.42,-0.5878,0.51
21972,1.64,-1.9216,1.71
21973,1.79,-0.5,2.15
21974,1.99,-3.3713,1.59
21975,0.63,-2.3255,0.55
21976,0.77,-1.7659,0.88
21977,0.71,-1.826,0.79
21980,0.39,-1.2224,0.46
21981,0.46,-0.8395,0.56
21982,0.45,-0.3589,0.54
21983,0.42,-1.2546,0.5
21984,0.41,-1.5088,0.5
21985,0.41,-0.9378,0.49
21986,0.42,-0.5037,0.5
21987,0.73,-0.9049,0.88
21988,0.95,-1.8943,1.01
21989,1.08,-1.6289,1.29
21990,2.27,-2.4433,1.92
21991,2.25,-2.0909,2.16
21992,2.42,-2.1935,2.22
21993,2.28,-3.0642,1.82
22016,83.33,-1.0,83.33
22021,1.79,-0.5,2.14
22023,0.53,-3.0592,0.42
22024,0.56,-1.3716,0.67
22025,0.54,-2.8172,0.43
22026,0.53,-2.8805,0.43
22027,0.52,-2.4562,0.44
22028,0.53,-1.2386,0.64
22029,0.51,-1.6226,0.61
22030,0.46,-1.2705,0.56
22031,0.52,-2.6125,0.42
22032,0.47,-2.7789,0.37
22033,0.48,-2.2693,0.43
22034,0.45,-4.5212,0.36
22035,0.56,-2.7776,0.44
22036,0.5,-2.7185,0.4
22037,0.52,-3.3991,0.42
22038,0.42,-0.5,0.5
22039,0.41,-4.7221,0.33
22040,0.42,-3.7293,0.33
22041,3.54,-1.7888,4.01
22042,0.41,-4.5819,0.33
22043,0.34,-3.3358,0.27
22044,0.33,-0.9954,0.39
22045,0.42,-0.5,0.5
22046,0.42,-9.5513,0.33
22047,0.42,-20.7794,0.33
22048,0.42,-8.0242,0.34
22049,0.3,-1.3983,0.36
22050,0.42,-17.6709,0.33
22051,0.42,-17.632,0.34
22052,0.42,-7.8577,0.33
22053,1.5,-2.0464,1.47
22054,2.14,-3.6129,1.71
22055,2.15,-0.4813,2.58
22056,1.93,-2.441,1.64
22057,2.04,-1.2922,2.45
22058,1.65,-0.2937,1.98
22059,1.76,-1.4823,2.11
22060,9.8,-1.0614,11.76
22061,11.2,-1.0942,13.44
22062,2.36,-0.8991,2.84
22063,3.62,-1.6054,4.35
22064,2.14,-1.7108,2.57
22065,1.44,-3.2812,1.15
22066,1.15,-0.8594,1.38
22067,2.09,-1.7142,2.51
22068,2.25,-1.1963,2.71
22069,2.97,-0.6663,3.57
22070,4.03,-1.2296,4.83
22071,3.87,-2.5959,3.15
22072,4.4,-0.9928,5.28
22073,4.59,-2.1826,4.23
22074,1.52,-2.4462,1.29
22075,1.82,-2.1414,1.71
22076,1.75,-2.6666,1.4
22077,2.11,-2.8492,1.69
22078,2.49,-1.3322,2.99
22079,1.94,-3.069,1.55
22080,1.92,-1.3826,2.31
22081,2.21,-2.2495,1.99
22082,1.9,-1.3358,2.27
22083,3.62,-1.7457,4.24
22084,3.29,-0.1556,3.95
22085,3.19,-2.8073,2.55
22086,3.36,-4.4051,2.69
22087,3.47,-0.5,4.17
22088,3.52,-1.1482,4.22
22089,3.38,-1.8501,3.68
22090,3.67,-2.1561,3.43
22091,1.26,-1.4309,1.51
22092,0.83,-0.833,0.99
22093,0.96,-1.6307,1.15
22094,1.3,-1.9482,1.34
22095,1.4,-1.1564,1.68
22096,0.93,-1.6219,1.11
22097,0.98,-1.5383,1.18
22098,1.26,-1.392,1.52
22099,1.27,-1.2367,1.53
22100,1.48,-0.8536,1.77
22101,2.33,-2.4024,1.99
22102,1.98,-2.1125,1.88
22103,2.03,-1.8187,2.26
22104,1.58,-2.4993,1.32
22105,4.25,-2.4374,3.6
22106,5.45,-1.9551,5.58
22107,4.69,-1.9653,4.77
22108,3.54,-1.0079,4.24
22109,5.15,-1.0217,6.18
22110,3.85,-2.2009,3.53
22111,5.73,-2.5252,4.74
22112,5.84,-2.4839,4.89
22113,4.19,-2.0885,4.02
22114,4.78,-2.9152,3.82
22115,3.29,-1.2114,3.95
22116,1.87,-1.248,2.25
22117,3.07,-1.4647,3.69
22118,5.44,-0.7693,6.52
22119,6.81,-2.5754,5.56
22120,11.29,-0.4602,13.54
22121,6.67,-1.6504,8.01
22122,3.47,-0.5,4.16
22123,3.75,-1.6111,4.5
22124,2.72,-0.3757,3.26
22125,6.82,-2.3901,5.87
22127,1.81,-0.8869,2.17
22128,1.53,-0.6966,1.83
22129,1.63,-0.8779,1.95
22130,1.85,-0.2129,2.22
22131,2.54,-2.1769,2.35
22132,1.15,-2.5473,0.95
22133,1.24,-3.3886,0.99
22134,0.64,-2.3048,0.57
22135,0.68,-1.9642,0.69
22136,2.11,-2.1574,1.96
22137,3.6,-1.9145,3.77
22138,5.36,-0.5,6.44
22139,5.57,-3.3623,4.46
22141,2.61,-4.0772,2.09
22142,1.73,-2.7837,1.38
22143,2.57,-2.3702,2.22
22144,2.61,-5.6168,2.09
22145,2.36,-2.806,1.89
22146,2.0,-0.5,2.4
22147,1.62,-1.9895,1.63
22148,2.31,-2.1275,2.18
22149,2.39,-1.6663,2.86
22150,2.2,-1.6218,2.64
22151,0.53,-1.6064,0.64
22152,0.52,-1.1179,0.62
22153,0.55,-0.7457,0.66
22154,0.53,-4.1485,0.43
22155,0.56,-4.1096,0.45
22156,1.07,-1.4398,1.29
22157,0.89,-4.014,0.71
22158,3.2,-4.4901,2.56
22161,0.7,-2.3658,0.6
22162,3.38,-0.5,4.05
22163,2.36,-2.5604,1.93
22164,3.39,-1.0676,4.07
22165,12.83,-1.6293,15.4
22166,12.21,-0.7898,14.65
22167,11.34,-0.7726,13.61
22168,8.5,-4.6076,6.8
22169,9.81,-1.3834,11.77
22170,7.43,-1.654,8.92
22171,9.82,-0.5,11.79
22172,9.58,-0.5,11.5
22173,3.73,-1.0672,4.47
22174,2.5,-0.4525,3.0
22175,3.44,-1.7965,3.88
22176,3.37,-0.5,4.04
22177,11.88,-0.5,14.25
22178,1.57,-0.5,1.88
22179,8.47,-1.4199,10.16
22180,11.27,-0.3813,13.52
22181,1.02,-2.9279,0.82
22182,4.55,-1.4223,5.47
22183,6.3,-2.6356,5.08
22184,9.16,-2.1465,8.58
22185,1.92,-1.5522,2.31
22186,3.29,-2.3926,2.82
22187,4.46,-2.2521,4.01
22188,4.45,-2.6648,3.56
22189,4.44,-1.4392,5.33
22190,2.36,-2.1538,2.21
22191,8.72,-2.4651,7.34
22192,8.92,-0.5,10.71
22193,9.19,-1.2599,11.03
22194,9.18,-1.5514,11.01
22195,2.24,-1.5501,2.69
22196,1.18,-2.1352,1.11
22197,1.03,-0.5,1.24
22198,2.07,-0.3843,2.48
22199,5.21,-1.5557,6.25
22200,5.63,-0.7484,6.75
22201,4.58,-1.3489,5.49
22202,5.22,-1.1513,6.26
22203,4.65,-0.8297,5.58
22204,4.2,-0.9167,5.05
22206,0.84,-0.5,1.01
22207,5.59,-0.9209,6.71
22208,1.57,-1.1095,1.89
22209,1.42,-1.5988,1.7
22210,1.39,-1.5317,1.67
22211,1.52,-1.4597,1.82
22212,2.62,-0.6488,3.15
22214,2.72,-2.3543,2.37
22215,9.02,-2.1567,8.41
22216,1.08,-2.351,0.94
22217,1.41,-1.5665,1.69
22218,5.39,-0.8336,6.47
22219,1.13,-1.7154,1.36
22220,10.38,-1.4638,12.46
22221,10.64,-1.5713,12.76
22222,5.62,-1.8049,6.3
22223,5.43,-1.5451,6.52
22224,3.63,-0.5933,4.36
22227,0.89,-0.916,1.07
22228,1.01,-0.6857,1.22
22229,1.02,-0.0545,1.22
22230,0.94,-0.4341,1.13
22231,1.55,-0.5285,1.86
22232,1.56,-1.0544,1.87
22233,1.51,-0.627,1.81
22236,13.37,-0.5,16.04
22241,1.58,-0.5569,1.9
22242,1.91,-0.8976,2.29
22243,1.9,-0.5,2.28
22244,2.69,-0.5,3.23
22245,1.11,-0.998,1.33
22246,2.73,-1.3156,3.28
22247,1.04,-2.1973,0.95
22248,1.07,-2.8131,0.86
22249,1.03,-2.2132,0.94
22250,1.13,-3.785,0.91
22251,1.56,-2.2897,1.39
22252,1.28,-1.1508,1.54
22253,1.46,-2.3068,1.29
22254,1.52,-1.5104,1.82
22255,1.14,-1.5592,1.37
22256,1.56,-2.8462,1.25
22257,1.24,-1.9553,1.27
22258,1.46,-2.0777,1.4
22259,1.3,-2.6335,1.04
22260,1.28,-1.8672,1.38
22261,1.15,-2.8838,0.92
22262,1.15,-2.6845,0.92
22263,1.16,-2.7533,0.93
22264,1.05,-2.6242,0.85
22265,0.76,-1.2816,0.92
22266,0.68,-0.9945,0.82
22267,1.18,-0.5,1.41
22268,0.83,-0.7105,1.0
22269,1.21,-1.1347,1.46
22270,4.23,-0.5768,5.07
22271,3.27,-1.3663,3.93
22272,3.17,-0.8076,3.8
22273,3.3,-1.3944,3.97
22274,3.28,-0.5,3.94
22275,8.88,-2.4155,7.58
22276,3.06,-0.5,3.68
22277,2.49,-1.208,2.99
22278,6.79,-1.4266,8.15
22279,1.62,-1.1614,1.94
22280,1.55,-1.6596,1.86
22281,8.09,-0.5,9.71
22282,16.96,-0.2792,20.35
22283,9.61,-1.2147,11.53
22284,1.99,-1.9903,2.0
22285,1.94,-0.5827,2.32
22286,1.74,-0.2125,2.09
22287,1.68,-0.611,2.01
22288,1.59,-1.6975,1.91
22289,1.54,-2.2982,1.36
22290,2.35,-3.9359,1.88
22291,1.64,-2.5721,1.34
22292,1.6,-0.4524,1.92
22293,1.8,-3.0975,1.44
22294,1.46,-1.216,1.75
22295,1.83,-1.9023,1.92
22296,1.82,-0.0432,2.18
22297,1.65,-3.8355,1.32
22299,1.64,-2.8533,1.31
22300,3.01,-2.1111,2.86
22301,3.18,-1.0941,3.81
22302,2.72,-1.605,3.27
22303,2.73,-2.2604,2.44
22304,2.87,-2.4642,2.41
22305,2.79,-2.6811,2.23
22306,2.05,-0.9322,2.46
22307,2.38,-1.4703,2.85
22308,3.95,-0.8309,4.74
22309,3.48,-2.3924,2.99
22310,2.52,-0.9456,3.02
22311,4.52,-1.597,5.43
22312,4.27,-0.812,5.12
22313,4.24,-1.786,4.82
22314,4.36,-0.6001,5.23
22315,1.44,-0.8861,1.73
22316,1.4,-2.8012,1.12
22317,3.68,-1.7835,4.18
22318,3.67,-1.8586,3.97
22319,0.8,-0.1798,0.97
22320,6.2,-1.3583,7.44
22321,1.23,-3.604,0.98
22322,1.23,-2.2835,1.1
22323,3.17,-0.3396,3.8
22324,3.34,-0.9352,4.0
22325,5.06,-1.8429,5.54
22326,3.43,-0.5,4.11
22327,3.79,-2.0016,3.79
22328,3.19,-2.7062,2.55
22329,2.08,-1.7922,2.35
22330,1.87,-0.5,2.24
22331,1.98,-1.8025,2.23
22332,1.82,-2.456,1.54
22333,1.86,-1.3993,2.23
22334,1.74,-2.4415,1.47
22335,0.85,-3.1882,0.68
22336,0.75,-2.8126,0.6
22337,0.75,-0.6184,0.9
22338,0.56,-3.2257,0.45
22339,0.58,-1.9941,0.59
22340,1.25,-2.0329,1.23
22341,2.36,-2.6245,1.91
22342,2.05,-1.577,2.46
22343,0.82,-2.0135,0.82
22344,0.84,-2.073,0.81
22345,0.81,-2.2015,0.74
22346,0.81,-2.2053,0.74
22347,1.66,-1.3866,1.99
22348,1.07,-1.1105,1.29
22349,4.16,-0.736,4.99
22350,3.1,-0.8284,3.72
22351,2.77,-1.0,2.766666666666667
22352,3.13,-1.8843,3.34
22353,3.14,-1.8203,3.48
22354,4.24,-1.7307,5.02
22355,1.16,-0.5,1.39
22356,1.16,-1.3438,1.39
22357,5.13,-1.096,6.16
22358,3.89,-2.604,3.16
22359,3.63,-1.0544,4.36
22360,3.78,-1.9777,3.82
22361,4.27,-0.9353,5.12
22362,3.8,-1.0632,4.56
22363,3.65,-1.7344,4.31
22364,3.92,-1.9205,4.09
22365,8.93,-3.1209,7.15
22366,9.08,-1.8075,10.16
22367,2.26,-0.8628,2.71
22371,5.37,-1.4454,6.45
22372,5.37,-0.2214,6.44
22374,5.34,-0.4157,6.4
22375,5.52,-1.1538,6.62
22376,5.26,-0.3013,6.31
22377,2.48,-2.4057,2.12
22378,2.88,-1.9861,2.9
22379,2.9,-1.7112,3.48
22380,2.47,-3.1725,1.97
22381,2.72,-2.5196,2.26
22382,1.9,-0.3006,2.27
22383,2.08,-0.5065,2.49
22384,1.95,-2.9187,1.56
22385,2.44,-0.8054,2.93
22386,2.42,-1.766,2.79
22389,2.54,-1.3809,3.05
22390,2.65,-1.564,3.18
22391,2.82,-1.4278,3.38
22393,2.94,-1.3613,3.53
22394,2.59,-1.5785,3.1
22395,3.2,-1.3825,3.84
22396,0.94,-1.1753,1.12
22398,1.03,-0.927,1.23
22399,1.3,-2.5936,1.06
22400,0.88,-1.1963,1.06
22402,0.93,-0.8157,1.12
22403,1.12,-1.226,1.34
22405,1.36,-1.6761,1.63
22406,1.46,-2.2861,1.3
22407,1.39,-1.1213,1.66
22408,1.46,-1.3603,1.75
22409,1.55,-1.8594,1.68
22410,1.39,-2.3593,1.21
22411,2.44,-1.8013,2.75
22412,2.57,-1.1622,3.09
22413,3.31,-2.454,2.79
22414,9.45,-1.175,11.34
22415,7.95,-1.0,7.95
22416,1.58,-1.3512,1.9
22417,0.71,-1.2715,0.85
22418,1.02,-2.9329,0.82
22419,0.6,-1.3088,0.72
22420,0.59,-1.7089,0.71
22421,0.59,-1.6068,0.71
22422,0.99,-4.5333,0.79
22423,14.18,-3.6252,11.34
22424,15.38,-1.0769,18.45
22425,5.65,-0.6936,6.78
22426,4.71,-1.8783,5.03
22427,6.53,-0.8292,7.84
22428,7.98,-0.1423,9.58
22429,4.82,-0.5,5.78
22430,5.62,-1.7287,6.66
22431,2.37,-2.0882,2.27
22432,2.28,-2.4027,1.95
